"10.28635525431254","413.11410629826395"
"Timestamps","Readings"
"2018-10-02 11:49:48.97","5.492988759536986"
"2018-10-02 11:49:54.258","5.495756902170525"
"2018-10-02 11:49:59.745","5.498205246200796"
